City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
107,dudinka,69.4058,86.1778,-9.92,94,100,7.68,RU,1730085111
108,genhe,50.7833,121.5167,3.1,64,13,1.64,CN,1730085113
109,ilha de mocambique,-15.0342,40.7358,25.35,84,5,5.27,MZ,1730085114
110,cill airne,52.05,-9.5167,13.75,99,100,2.71,IE,1730085115
111,macau,22.2006,113.5461,27.62,69,20,9.26,MO,1730085116
112,fortuna,40.5982,-124.1573,11.1,94,0,0.0,US,1730085117
113,antofagasta,-23.65,-70.4,15.6,81,50,2.74,CL,1730084876
114,phitsanulok,16.9167,100.5,28.17,80,100,1.3,TH,1730085119
115,matsue,35.4722,133.0506,16.97,88,75,4.63,JP,1730085120
116,dieppe,49.75,1.1667,12.23,94,79,2.53,FR,1730085121
117,minas de marcona,-15.2119,-75.1103,13.13,84,13,3.94,PE,1730085123
118,port alfred,-33.5906,26.891,18.08,48,93,7.93,ZA,1730085124
119,namibe,-15.1961,12.1522,17.9,84,31,1.37,AO,1730085125
120,aasiaat,68.7098,-52.8699,-13.34,76,16,3.86,GL,1730084830
121,hwange,-18.3693,26.5019,25.39,48,98,1.78,ZW,1730084987
122,el nido,11.1858,119.3956,31.19,79,79,6.02,PH,1730085128
123,usogorsk,63.4106,48.6872,0.05,89,16,1.8,RU,1730085129
124,gorontalo,0.5412,123.0595,32.48,54,93,3.97,ID,1730085069
125,hot springs village,34.6655,-93.01,16.93,89,0,1.3,US,1730085132
126,thompson,55.7435,-97.8558,-1.29,55,100,5.69,CA,1730085133
127,oyama,36.3,139.8,19.81,77,98,1.63,JP,1730085134
128,ipatovo,45.7181,42.9036,4.08,62,8,2.14,RU,1730085135
129,tadine,-21.55,167.8833,24.08,65,82,5.1,NC,1730085136
130,kurchatov,51.6601,35.6521,5.35,84,83,1.67,RU,1730085137
131,joypur hat,25.0943,89.0217,26.75,77,0,2.42,BD,1730084973
132,badiyah,22.45,58.8,26.02,32,0,1.3,OM,1730085139
133,mendoza,-32.8908,-68.8272,22.74,40,0,1.54,AR,1730084342
134,nadi,-17.8,177.4167,29.0,70,40,5.66,FJ,1730085142
135,shanwei,22.782,115.3475,26.48,64,50,2.94,CN,1730085143
136,lazaro cardenas,17.9583,-102.2,26.68,79,0,1.27,MX,1730085144
137,okha,53.5739,142.9478,0.13,67,81,3.84,RU,1730085145
138,udachny,66.4167,112.4,-17.06,95,93,1.52,RU,1730085146
139,lihue,21.9789,-159.3672,25.77,85,75,4.63,US,1730085147
140,yola,9.2,12.4833,23.56,47,12,0.2,NG,1730085148
141,lagos,6.5833,3.75,24.83,91,100,0.94,NG,1730084927
142,brisas de zicatela,15.8369,-97.0419,25.86,77,13,2.33,MX,1730085151
143,sandnessjoen,66.0217,12.6316,7.12,64,100,11.55,NO,1730085152
144,mumbwa,-14.9783,27.0619,19.3,82,100,4.67,ZM,1730085153
145,olonets,60.9847,32.9698,6.52,90,100,5.1,RU,1730085154
146,south molton,51.0167,-3.8333,12.07,96,80,4.2,GB,1730085155
147,murashi,59.3999,48.9615,2.25,93,99,0.46,RU,1730085156
